Column1;Column2;Column3;Column4;Column5;Column6
OVO002363;Openbaar Centrum voor Maatschappelijk Welzijn van Lint;Lokale overheid;Lint;OCMW;http://data.lblod.info/id/bestuurseenheden/7964584de2575c7e0aefee4a2b87b28efe1cd0a3077fa750ca75e37e9afec485
OVO002364;Openbaar Centrum voor Maatschappelijk Welzijn van Mortsel;Lokale overheid;Mortsel;OCMW;http://data.lblod.info/id/bestuurseenheden/d4f223303e1f925ebcab3bf7d42be9ab847aa5ec413d64139c5ebb76a15d7d73
OVO002365;Openbaar Centrum voor Maatschappelijk Welzijn van Niel;Lokale overheid;Niel;OCMW;http://data.lblod.info/id/bestuurseenheden/b6f47f902b7fc800109b56d643856605abc734c2713bf6238d10c4ab6717e407
OVO002366;Openbaar Centrum voor Maatschappelijk Welzijn van Ranst;Lokale overheid;Ranst;OCMW;http://data.lblod.info/id/bestuurseenheden/93746445b8e49813e27e0d07459a2dac0d8d4aafb85d87662addecb3644c6c02
OVO002367;Openbaar Centrum voor Maatschappelijk Welzijn van Rumst;Lokale overheid;Rumst;OCMW;http://data.lblod.info/id/bestuurseenheden/c746946756edbcd64617216e752dff9ee8fffb1f6315f621cd14df0704915550
OVO002368;Openbaar Centrum voor Maatschappelijk Welzijn van Schelle;Lokale overheid;Schelle;OCMW;http://data.lblod.info/id/bestuurseenheden/af8b2789c75950ed882332410124b5247259ad7142e77ea1fdecd05dbc53a848
OVO002369;Openbaar Centrum voor Maatschappelijk Welzijn van Schilde;Lokale overheid;Schilde;OCMW;http://data.lblod.info/id/bestuurseenheden/6c0cee908003c04080f2f07d86c669c42f3ea69eeb6a018a78261d61b88e102a
OVO002370;Openbaar Centrum voor Maatschappelijk Welzijn van Schoten;Lokale overheid;Schoten;OCMW;http://data.lblod.info/id/bestuurseenheden/e437949aa5906b1a565b823c0f707a132e33b9acf55f5ddd58e10f2e5ee9d1fb
OVO002371;Openbaar Centrum voor Maatschappelijk Welzijn van Stabroek;Lokale overheid;Stabroek;OCMW;http://data.lblod.info/id/bestuurseenheden/6861e7ab92ff73b8d448edb2e16e9e400201c5ceeb66afb82b185adef4bcbaa0
OVO002372;Openbaar Centrum voor Maatschappelijk Welzijn van Wijnegem;Lokale overheid;Wijnegem;OCMW;http://data.lblod.info/id/bestuurseenheden/c6ae77be4aa72cb5f9ebe979e788106a353d48a3569fac740a78fa47fd1a1c72
OVO002373;Openbaar Centrum voor Maatschappelijk Welzijn van Wommelgem;Lokale overheid;Wommelgem;OCMW;http://data.lblod.info/id/bestuurseenheden/10a0af7dd1ba91a385a6ccfb2dcc48c8b306ba6c51f2935b1cac0ac6fe2016e2
OVO002374;Openbaar Centrum voor Maatschappelijk Welzijn van Wuustwezel;Lokale overheid;Wuustwezel;OCMW;http://data.lblod.info/id/bestuurseenheden/da963630eb61b9107c5db60ccc3b0bbc5b8954d0fc872b6e39c224c447bd450f
OVO002375;Openbaar Centrum voor Maatschappelijk Welzijn van Zandhoven;Lokale overheid;Zandhoven;OCMW;http://data.lblod.info/id/bestuurseenheden/54f52dd240e24ac891f9ec97506fe248ba17cb46a84aac4da6f1916bb3111022
OVO002376;Openbaar Centrum voor Maatschappelijk Welzijn van Zoersel;Lokale overheid;Zoersel;OCMW;http://data.lblod.info/id/bestuurseenheden/94c56bcbb9692f00b27a7411599cc08f39128ddad93dd822344f428ef67550e5
OVO002377;Openbaar Centrum voor Maatschappelijk Welzijn van Zwijndrecht;Lokale overheid;Zwijndrecht;OCMW;http://data.lblod.info/id/bestuurseenheden/bbc23313f4c8585a0c51f15f920d77123356535cd1cad9af38f5707892c7088d
OVO002378;Openbaar Centrum voor Maatschappelijk Welzijn van Malle;Lokale overheid;Malle;OCMW;http://data.lblod.info/id/bestuurseenheden/bf4a505b56482d3d28f3c4b29a6c8c5605c508f4a714006e2c00c9fe3824a488
OVO002379;Openbaar Centrum voor Maatschappelijk Welzijn van Berlaar;Lokale overheid;Berlaar;OCMW;http://data.lblod.info/id/bestuurseenheden/f5aef7c691e862d39758f589e2202f64ee91d924938d8ba42de5d1a4dc26b38e
OVO002380;Openbaar Centrum voor Maatschappelijk Welzijn van Bonheiden;Lokale overheid;Bonheiden;OCMW;http://data.lblod.info/id/bestuurseenheden/dad16fb4b9075c91432065d157e9e3ddfd6c65a7a6532d75671692d2def9dd02
OVO002381;Openbaar Centrum voor Maatschappelijk Welzijn van Bornem;Lokale overheid;Bornem;OCMW;http://data.lblod.info/id/bestuurseenheden/96748b96756c2dd9b57dc046596f9b1d18fc127d04cf92966021724e98ebe80d
OVO002382;Openbaar Centrum voor Maatschappelijk Welzijn van Duffel;Lokale overheid;Duffel;OCMW;http://data.lblod.info/id/bestuurseenheden/90c172d539a2ecc6e4e1681f1e5cdfcfa82784f9e5d201e7e0cce9b9b235d08c
OVO002383;Openbaar Centrum voor Maatschappelijk Welzijn van Heist-op-den-Berg;Lokale overheid;Heist-op-den-Berg;OCMW;http://data.lblod.info/id/bestuurseenheden/8726a8c00a0febfa0944a3674145905d03f49dc3583d14d27b3ec60ea7a05f99
OVO002384;Openbaar Centrum voor Maatschappelijk Welzijn van Lier;Lokale overheid;Lier;OCMW;http://data.lblod.info/id/bestuurseenheden/dccd34bd1535fec7707ce7b19c76bf5446241926e4b951e37defb87c80e24218
OVO002385;Openbaar Centrum voor Maatschappelijk Welzijn van Mechelen;Lokale overheid;Mechelen;OCMW;http://data.lblod.info/id/bestuurseenheden/68e8c071ddfe1957b9c7b0ccd269f6776f4863a5f5bf4fed636f0e76427200ac
OVO002386;Openbaar Centrum voor Maatschappelijk Welzijn van Nijlen;Lokale overheid;Nijlen;OCMW;http://data.lblod.info/id/bestuurseenheden/240d6c23ed1488956468b3c2480f3acd1b69fd17a536f6731687d3066e657f45
OVO002387;Openbaar Centrum voor Maatschappelijk Welzijn van Putte;Lokale overheid;Putte;OCMW;http://data.lblod.info/id/bestuurseenheden/de1b368a9134ad6782b22e7af616d61019ea5c64d6493786d904d53888b42d67
OVO002388;;Lokale overheid;Puurs;OCMW;http://data.lblod.info/id/bestuurseenheden/2712dbaca999e57d26f1f0d3e72b2ed96113d6ac62d72b7228fd682e1324e4e5
OVO002389;;Lokale overheid;Sint-Amands;OCMW;http://data.lblod.info/id/bestuurseenheden/be274f73ffbd75a9cf28222f45044f468b40692ca9c80c8c5899acf554498e24
OVO002390;Openbaar Centrum voor Maatschappelijk Welzijn van Sint-Katelijne-Waver;Lokale overheid;Sint-Katelijne-Waver;OCMW;http://data.lblod.info/id/bestuurseenheden/3b7dcd5c1f24b05bd345e7b2fabbd9fa4d3301daf5fa196350cef2ed2c158795
OVO002391;Openbaar Centrum voor Maatschappelijk Welzijn van Willebroek;Lokale overheid;Willebroek;OCMW;http://data.lblod.info/id/bestuurseenheden/79e613965c6300bb08395a2ed56c1532bda0cef4da031ad5ba630313454937a2
OVO002392;Openbaar Centrum voor Maatschappelijk Welzijn van Arendonk;Lokale overheid;Arendonk;OCMW;http://data.lblod.info/id/bestuurseenheden/309381680ffa9eb3465e5dea5dd873132ab4333cfc5bed09f3c957cdd8aff0cb
OVO002393;Openbaar Centrum voor Maatschappelijk Welzijn van Baarle-Hertog;Lokale overheid;Baarle-Hertog;OCMW;http://data.lblod.info/id/bestuurseenheden/880c978bdf2b0e3dbbd4644787b0e78f9325a865e120e66b8aba2f8dc2967c1f
OVO002394;Openbaar Centrum voor Maatschappelijk Welzijn van Balen;Lokale overheid;Balen;OCMW;http://data.lblod.info/id/bestuurseenheden/ef6cb65856267721638c26272a9eb1584a9516527fd2ecabc1627d26c3dd8dd0
OVO002395;Openbaar Centrum voor Maatschappelijk Welzijn van Beerse;Lokale overheid;Beerse;OCMW;http://data.lblod.info/id/bestuurseenheden/5dac914e84e5b9293b3457a57007ede319ba8e7da44cd7366593b7212c21bef0
OVO002396;Openbaar Centrum voor Maatschappelijk Welzijn van Beersel;Lokale overheid;Beersel;OCMW;http://data.lblod.info/id/bestuurseenheden/45304946a1d7ca07e95fb5de4cb50df96a75cb1583c7df5029930136bd7ebe38
OVO002397;Openbaar Centrum voor Maatschappelijk Welzijn van Dessel;Lokale overheid;Dessel;OCMW;http://data.lblod.info/id/bestuurseenheden/dfb206885f2dfd9257e65364956f70562e52d55fd99702dff117c8f24ebbda43
OVO002398;Openbaar Centrum voor Maatschappelijk Welzijn van Geel;Lokale overheid;Geel;OCMW;http://data.lblod.info/id/bestuurseenheden/b4aa549332cbc6e6b92d2e466b49af8111ad67b774ee4c990f98d3b77c5c6fa1
OVO002399;Openbaar Centrum voor Maatschappelijk Welzijn van Grobbendonk;Lokale overheid;Grobbendonk;OCMW;http://data.lblod.info/id/bestuurseenheden/b8bf3d26396dc67722019c522d3a0bff2c6f5930694f3c685f6384e2e6e0b2b4
OVO002400;Openbaar Centrum voor Maatschappelijk Welzijn van Herentals;Lokale overheid;Herentals;OCMW;http://data.lblod.info/id/bestuurseenheden/037bf2c12d939fa29aa5c77dc274b32ed7ac29ba9be068e36b0da950226d5c61
OVO002401;Openbaar Centrum voor Maatschappelijk Welzijn van Herenthout;Lokale overheid;Herenthout;OCMW;http://data.lblod.info/id/bestuurseenheden/99551d67fc22a429595d9fac5dba1babd38cbd823c7ea107b73382c30787b6c9
OVO002402;Openbaar Centrum voor Maatschappelijk Welzijn van Herselt;Lokale overheid;Herselt;OCMW;http://data.lblod.info/id/bestuurseenheden/de799622f0e0a928b0409c401d18d2ed7dd5a5dc165a8bb8e7934f94eea77c44
OVO002403;Openbaar Centrum voor Maatschappelijk Welzijn van Hoogstraten;Lokale overheid;Hoogstraten;OCMW;http://data.lblod.info/id/bestuurseenheden/de085ffd17e2b1b37a6069ddf36a4d6b2108e89a095c3143c620759351ac9cd1
OVO002404;Openbaar Centrum voor Maatschappelijk Welzijn van Hulshout;Lokale overheid;Hulshout;OCMW;http://data.lblod.info/id/bestuurseenheden/39c1dea3c4d9a91dd4506e091fc845d3a7f97c426c7aea3e2e728524c0809354
OVO002405;Openbaar Centrum voor Maatschappelijk Welzijn van Kasterlee;Lokale overheid;Kasterlee;OCMW;http://data.lblod.info/id/bestuurseenheden/5949ac1a19026206ebdc67b4e1a63416bc0f4fa25615295f185fc3fd5b5181e1
OVO002406;Openbaar Centrum voor Maatschappelijk Welzijn van Lille;Lokale overheid;Lille;OCMW;http://data.lblod.info/id/bestuurseenheden/eb021d02b04f6a35d27f1fdd206dacda742ae5b5ec8cbbea1d5e664545e98a1e
OVO002407;Openbaar Centrum voor Maatschappelijk Welzijn van Meerhout;Lokale overheid;Meerhout;OCMW;http://data.lblod.info/id/bestuurseenheden/efc00af720c638ed6425d46051f51d25fa7a624b973b2a07c39ba4498caee78d
OVO002408;Openbaar Centrum voor Maatschappelijk Welzijn van Merksplas;Lokale overheid;Merksplas;OCMW;http://data.lblod.info/id/bestuurseenheden/bad14fadb66ed3809c655c9d07d8280a9fd5004c47e3131e0e67bd81f0b8182d
OVO002409;Openbaar Centrum voor Maatschappelijk Welzijn van Mol;Lokale overheid;Mol;OCMW;http://data.lblod.info/id/bestuurseenheden/904ebf5719a5a4e125a3f9fdcd25b08e336f822ca786dc2b30dfca927033e4e4
OVO002410;Onderwijsinspectie;Vlaamse overheid;Onderwijsinspectie;;https://data.vlaanderen.be/id/organisatie/OVO002410
OVO002411;Vlaams Agentschap voor Samenwerking rond Gegevensdeling tussen de Actoren in de Zorg;Vlaamse overheid;Vlaams Agentschap voor Samenwerking rond Gegevensdeling tussen de Actoren in de Zorg;;https://data.vlaanderen.be/id/organisatie/OVO002411
OVO002412;Openbaar Centrum voor Maatschappelijk Welzijn van Olen;Lokale overheid;Olen;OCMW;http://data.lblod.info/id/bestuurseenheden/5bf06ce5dbd1eea7dbaf00cf52fc517b7439ab7a9c5e607a269cc26cc8e27d70
OVO002413;Openbaar Centrum voor Maatschappelijk Welzijn van Oud-Turnhout;Lokale overheid;Oud-Turnhout;OCMW;http://data.lblod.info/id/bestuurseenheden/1820266bfcf4c0c9cf62582e1d2e4f7295224cbe24726fde42fd9bd31c76e632
OVO002414;Openbaar Centrum voor Maatschappelijk Welzijn van Ravels;Lokale overheid;Ravels;OCMW;http://data.lblod.info/id/bestuurseenheden/0cc6cd604ef836cd7c25ccc83de3a28422cf9b9e515ced6d31defe7c7a20d88f
OVO002415;Openbaar Centrum voor Maatschappelijk Welzijn van Retie;Lokale overheid;Retie;OCMW;http://data.lblod.info/id/bestuurseenheden/6e7a231f4734064a38a6e347d978a5ec06bcbf1f749820791ac6bfa301be9aa1
OVO002416;Openbaar Centrum voor Maatschappelijk Welzijn van Rijkevorsel;Lokale overheid;Rijkevorsel;OCMW;http://data.lblod.info/id/bestuurseenheden/55aefb46ea8c9cf9c630fc4c129d4ac9a0db689af23c12896b86a6c8a707ad7b
OVO002417;Openbaar Centrum voor Maatschappelijk Welzijn van Turnhout;Lokale overheid;Turnhout;OCMW;http://data.lblod.info/id/bestuurseenheden/2b1c96da5ba86a6dbb84af9f53b73d8e3f9e4b670c3ab155c9fcadb735d7c31d
OVO002418;Openbaar Centrum voor Maatschappelijk Welzijn van Vorselaar;Lokale overheid;Vorselaar;OCMW;http://data.lblod.info/id/bestuurseenheden/0a6f2c605c7513077bd8f06162a9b4dc4c7aedb113f15a3e9e8792719e9b107a
OVO002419;Openbaar Centrum voor Maatschappelijk Welzijn van Vosselaar;Lokale overheid;Vosselaar;OCMW;http://data.lblod.info/id/bestuurseenheden/45cb23b65f3c877676288af3818da3cfeb6c6fd03fd81b4b0036ae7e02d3f5b5
OVO002420;Openbaar Centrum voor Maatschappelijk Welzijn van Westerlo;Lokale overheid;Westerlo;OCMW;http://data.lblod.info/id/bestuurseenheden/8cd07007fee51d55760f7d3d14944b548d98061a9eca4eafe825c89a1145aaf3
OVO002421;Openbaar Centrum voor Maatschappelijk Welzijn van Laakdal;Lokale overheid;Laakdal;OCMW;http://data.lblod.info/id/bestuurseenheden/96bad0ebf5866e1f4d792a276343d492ebf21ef4cb84634dfb27daf0fdd28ece
OVO002422;Openbaar Centrum voor Maatschappelijk Welzijn van Asse;Lokale overheid;Asse;OCMW;http://data.lblod.info/id/bestuurseenheden/bd05ba17a726c2790cfa5b89c903586d81cd29ce2ca25df1806f628721d4e64d
OVO002423;Openbaar Centrum voor Maatschappelijk Welzijn van Bever;Lokale overheid;Bever;OCMW;http://data.lblod.info/id/bestuurseenheden/0f90ca7e2a59ef6eb584179f7d6503661f7ce3c1c1096fbf3d3a8d0b4b07d51f
OVO002424;Openbaar Centrum voor Maatschappelijk Welzijn van Dilbeek;Lokale overheid;Dilbeek;OCMW;http://data.lblod.info/id/bestuurseenheden/bf771996f6be18d3198e1ff6b08042406fae5d171bc2c1dedfd756b3862131b6
OVO002425;Openbaar Centrum voor Maatschappelijk Welzijn van Galmaarden;Lokale overheid;Galmaarden;OCMW;http://data.lblod.info/id/bestuurseenheden/ba8a253d98ea7d2ab1afc43e5e2cd145a12ccd86b68e71d023e3c13a83d7498f
OVO002477;Openbaar Centrum voor Maatschappelijk Welzijn van Gooik;Lokale overheid;Gooik;OCMW;http://data.lblod.info/id/bestuurseenheden/76c45d60f05bf8afc8c71859342b69cac6a57ee2b320b900a60afd6ba9b8eb9d
OVO002478;Openbaar Centrum voor Maatschappelijk Welzijn van Grimbergen;Lokale overheid;Grimbergen;OCMW;http://data.lblod.info/id/bestuurseenheden/3241773b6e80720538692a56fd4433c622115aefc8610d185365df478a09dc31
OVO002479;Openbaar Centrum voor Maatschappelijk Welzijn van Halle;Lokale overheid;Halle;OCMW;http://data.lblod.info/id/bestuurseenheden/1b9e9954c567331e845b8ca8f423d4c5fcc26aa377a73db1e30e0be83eac08cc
OVO002480;Openbaar Centrum voor Maatschappelijk Welzijn van Herne;Lokale overheid;Herne;OCMW;http://data.lblod.info/id/bestuurseenheden/5d21ccef2f5aa3ccbf3a74c6f25ebe9f0b1ef5a97b87f3d79c86ae9d6d857df8
OVO002481;Openbaar Centrum voor Maatschappelijk Welzijn van Hoeilaart;Lokale overheid;Hoeilaart;OCMW;http://data.lblod.info/id/bestuurseenheden/122817656206dc0483f5e9304d25fe94f0ab113293ae7b21ebf6e0ef4ec89604
OVO002482;Openbaar Centrum voor Maatschappelijk Welzijn van Kampenhout;Lokale overheid;Kampenhout;OCMW;http://data.lblod.info/id/bestuurseenheden/f7ff1fdfec6a85c01e57c37039a91563d75b246bd69f30d4099999d93a0abc02
OVO002483;Openbaar Centrum voor Maatschappelijk Welzijn van Kapelle-op-den-Bos;Lokale overheid;Kapelle-op-den-Bos;OCMW;http://data.lblod.info/id/bestuurseenheden/d158db91a7497ab1ae9d2b07d7dddef323169ae483f6314dfd5ee3e9e1393de2
OVO002484;Openbaar Centrum voor Maatschappelijk Welzijn van Liedekerke;Lokale overheid;Liedekerke;OCMW;http://data.lblod.info/id/bestuurseenheden/da5c2f8824ae97eb1408e04217048f252c405ce2ab943f4147f030dcf6d2838d
OVO002485;Openbaar Centrum voor Maatschappelijk Welzijn van Londerzeel;Lokale overheid;Londerzeel;OCMW;http://data.lblod.info/id/bestuurseenheden/2d7c728af88ae7785057c04d6118f05f5b45a65e06b2f9b12a059925f0463e5a
OVO002486;Openbaar Centrum voor Maatschappelijk Welzijn van Machelen (Brab.);Lokale overheid;Machelen;OCMW;http://data.lblod.info/id/bestuurseenheden/9ef9220a7368a7bb42d66f537d5bb386c44ae8d6b7c9348d49a0002ca019fec8
OVO002487;Openbaar Centrum voor Maatschappelijk Welzijn van Meise;Lokale overheid;Meise;OCMW;http://data.lblod.info/id/bestuurseenheden/23878301a9c6163c4a836d06950bfc9c681a1ef0e40a51162329c32dfc061887
OVO002488;Openbaar Centrum voor Maatschappelijk Welzijn van Merchtem;Lokale overheid;Merchtem;OCMW;http://data.lblod.info/id/bestuurseenheden/7acf9640b540b3cad9268ea04734134e0687788914c89a353c54d04d86dc8a80
OVO002489;Openbaar Centrum voor Maatschappelijk Welzijn van Opwijk;Lokale overheid;Opwijk;OCMW;http://data.lblod.info/id/bestuurseenheden/50e47a0ba77a92d74e528c1864bcf5b44b01cc20120fa5ae2ba16ae24d7642c2
OVO002490;Openbaar Centrum voor Maatschappelijk Welzijn van Overijse;Lokale overheid;Overijse;OCMW;http://data.lblod.info/id/bestuurseenheden/e1cbc0a059ae4b2ec31dd923159863ba1af30ddefad9a65c812cc097c34f9ec8
OVO002491;Openbaar Centrum voor Maatschappelijk Welzijn van Pepingen;Lokale overheid;Pepingen;OCMW;http://data.lblod.info/id/bestuurseenheden/1b302e59584e383bbf169280c7f21070c65332a58ed4e80c89fbd876edc4cdbb
OVO002492;Openbaar Centrum voor Maatschappelijk Welzijn van Sint-Pieters-Leeuw;Lokale overheid;Sint-Pieters-Leeuw;OCMW;http://data.lblod.info/id/bestuurseenheden/f6dfb1fb092ad4291b7921df8214dd9032c1c0fd198ea43264f5d2ac033f24a5
OVO002493;Openbaar Centrum voor Maatschappelijk Welzijn van Steenokkerzeel;Lokale overheid;Steenokkerzeel;OCMW;http://data.lblod.info/id/bestuurseenheden/5f7bd773873d0f3910802f9855bdc2b6738aacc44fdb6d8ed45cdd8220f10586
OVO002494;Openbaar Centrum voor Maatschappelijk Welzijn van Ternat;Lokale overheid;Ternat;OCMW;http://data.lblod.info/id/bestuurseenheden/3b38fbd322454a0e9d1e9fdb290d6d9629b1db6ae476afcaed2035f339cbc5a6
OVO002495;Openbaar Centrum voor Maatschappelijk Welzijn van Vilvoorde;Lokale overheid;Vilvoorde;OCMW;http://data.lblod.info/id/bestuurseenheden/ceb1cdcf01ffc68542de2b1e0f8e6f1d581b0267d85fc7080cc451977dc42c5a
OVO002496;Openbaar Centrum voor Maatschappelijk Welzijn van Zaventem;Lokale overheid;Zaventem;OCMW;http://data.lblod.info/id/bestuurseenheden/65e28345eaf58a1900fbff273bdf390937ad5e5d8682668c256a2ebfec39ac37
OVO002497;Openbaar Centrum voor Maatschappelijk Welzijn van Zemst;Lokale overheid;Zemst;OCMW;http://data.lblod.info/id/bestuurseenheden/d5afbc1a5906c3c386376e82d9930d29c60812ccf897833fb4dde99e73520914
OVO002498;Openbaar Centrum voor Maatschappelijk Welzijn van Roosdaal;Lokale overheid;Roosdaal;OCMW;http://data.lblod.info/id/bestuurseenheden/2a2b72be37abebae1315732f80247dce692f8bed094361611634561eed81f73b
OVO002499;Openbaar Centrum voor Maatschappelijk Welzijn van Drogenbos;Lokale overheid;Drogenbos;OCMW;http://data.lblod.info/id/bestuurseenheden/9ba66c8f97bbc6dd3ba2b35d8a6bb79215facbe3e5b3d52672b785449d6f5e58
OVO002500;Openbaar Centrum voor Maatschappelijk Welzijn van Kraainem;Lokale overheid;Kraainem;OCMW;http://data.lblod.info/id/bestuurseenheden/45f432ac38d124141638c62f7afd577ab847c3571061b45e3b0b3329f6194048
OVO002501;Openbaar Centrum voor Maatschappelijk Welzijn van Linkebeek;Lokale overheid;Linkebeek;OCMW;http://data.lblod.info/id/bestuurseenheden/0b5d1664b3cf08550bcfdac0f4b195ab7a46a0f1974726de864dc0edb1565ecc
OVO002502;Openbaar Centrum voor Maatschappelijk Welzijn van Sint-Genesius-Rode;Lokale overheid;Sint-Genesius-Rode;OCMW;http://data.lblod.info/id/bestuurseenheden/76730bd9ab6808230335d90e9ff30ad362a3461ee0239fd978e4313bcdca44c5
OVO002503;Openbaar Centrum voor Maatschappelijk Welzijn van Wemmel;Lokale overheid;Wemmel;OCMW;http://data.lblod.info/id/bestuurseenheden/7f2c5143806d6110feb44eba2a91d58e8fd563465b94d0f6b40d13a6a1740940
OVO002504;Openbaar Centrum voor Maatschappelijk Welzijn van Wezembeek-Oppem;Lokale overheid;Wezembeek-Oppem;OCMW;http://data.lblod.info/id/bestuurseenheden/f9ee0b69624bba3677b18b95110246ee9106377c948ab5d914909eac79f88bcf
OVO002505;Openbaar Centrum voor Maatschappelijk Welzijn van Lennik;Lokale overheid;Lennik;OCMW;http://data.lblod.info/id/bestuurseenheden/92f38467d9467707d91ba9cb3c5c165cd58447078d985b25a651b3f01e8695cd
OVO002506;Openbaar Centrum voor Maatschappelijk Welzijn van Affligem;Lokale overheid;Affligem;OCMW;http://data.lblod.info/id/bestuurseenheden/d6a04c16b842c671407bccdad2d3b536b7d356096ae24e7c6c6e22cee4296db4
OVO002507;Openbaar Centrum voor Maatschappelijk Welzijn van Aarschot;Lokale overheid;Aarschot;OCMW;http://data.lblod.info/id/bestuurseenheden/5d6cc695e6c2082ca219baf425c61e8fc8ea25ec5a11187f1d96863266adcd64
OVO002508;Openbaar Centrum voor Maatschappelijk Welzijn van Begijnendijk;Lokale overheid;Begijnendijk;OCMW;http://data.lblod.info/id/bestuurseenheden/3dc438677191b88ea491944a489e8137c09aae900924c96dec52352e086f8c3d
OVO002509;Openbaar Centrum voor Maatschappelijk Welzijn van Bekkevoort;Lokale overheid;Bekkevoort;OCMW;http://data.lblod.info/id/bestuurseenheden/4f4a3d2d9a87bad57bdb770b0c52b1fe6fe4064fb48f1279496f35cd3fe3c1f5
OVO002510;Openbaar Centrum voor Maatschappelijk Welzijn van Bertem;Lokale overheid;Bertem;OCMW;http://data.lblod.info/id/bestuurseenheden/b1921c8d18412f385e9e04779ce742b844ebb6f2c9e62f2f7f0737f0a0be9a05
OVO002511;Openbaar Centrum voor Maatschappelijk Welzijn van Bierbeek;Lokale overheid;Bierbeek;OCMW;http://data.lblod.info/id/bestuurseenheden/c3254bf9b0bde0f1a34e51d08f04324ce18cc2e4a80a8b3a3efc7eddc610b01b
OVO002512;Openbaar Centrum voor Maatschappelijk Welzijn van Boortmeerbeek;Lokale overheid;Boortmeerbeek;OCMW;http://data.lblod.info/id/bestuurseenheden/80b9cde1dfd1f040daa29e19818b79630175565f3a087ca6c0bf44a61fa3c706
OVO002513;Openbaar Centrum voor Maatschappelijk Welzijn van Boutersem;Lokale overheid;Boutersem;OCMW;http://data.lblod.info/id/bestuurseenheden/d3abb7a0aa838ba5641cdce07c61803659ee32e66ecf4710d719eb98ddf0c8dc
OVO002514;Openbaar Centrum voor Maatschappelijk Welzijn van Diest;Lokale overheid;Diest;OCMW;http://data.lblod.info/id/bestuurseenheden/8e56a0a0b0d98e418bc12db9df9750ebeb8735ce96bf7264b69c0ece34cacbbf
OVO002515;Openbaar Centrum voor Maatschappelijk Welzijn van Geetbets;Lokale overheid;Geetbets;OCMW;http://data.lblod.info/id/bestuurseenheden/0063f3bf54b42af14f148c0e5bb503ee555d7dbc6926a0eda03d5c523809ae4b
OVO002516;Openbaar Centrum voor Maatschappelijk Welzijn van Haacht;Lokale overheid;Haacht;OCMW;http://data.lblod.info/id/bestuurseenheden/201f85f3d130bc1145ef575de1ae82d390eefe42ca0b0ebff886ee7822085cda
OVO002517;Openbaar Centrum voor Maatschappelijk Welzijn van Herent;Lokale overheid;Herent;OCMW;http://data.lblod.info/id/bestuurseenheden/30140eaed99f7bd21ae29da27e25c732a0e7ccd5a54b5fbc4afac00dafba6f3b
OVO002518;Openbaar Centrum voor Maatschappelijk Welzijn van Hoegaarden;Lokale overheid;Hoegaarden;OCMW;http://data.lblod.info/id/bestuurseenheden/4b3ee479b05e81df72e2c2d7aa42c5c77fd20938feefa0126abfff98356bbc96
OVO002519;Openbaar Centrum voor Maatschappelijk Welzijn van Holsbeek;Lokale overheid;Holsbeek;OCMW;http://data.lblod.info/id/bestuurseenheden/8a7354b76f3d258f9596fa454ec2b75b55be47234366c8f8d7d60eea96dfbebf
OVO002520;Openbaar Centrum voor Maatschappelijk Welzijn van Huldenberg;Lokale overheid;Huldenberg;OCMW;http://data.lblod.info/id/bestuurseenheden/d46371c007fc5caf83968d47133589353cffbd96966111bb7fce21b23faf20fe
OVO002521;Openbaar Centrum voor Maatschappelijk Welzijn van Keerbergen;Lokale overheid;Keerbergen;OCMW;http://data.lblod.info/id/bestuurseenheden/86db2b72b83ed1ab8b68d4da00639c883d786f425ee1d3f2ea8e76278bfca4f9
OVO002522;Openbaar Centrum voor Maatschappelijk Welzijn van Kortenaken;Lokale overheid;Kortenaken;OCMW;http://data.lblod.info/id/bestuurseenheden/b20aa3d0e5aa6c75af0710d94db0a30952c0c45f62282d9d8df8a4e15a9295dd
OVO002523;Openbaar Centrum voor Maatschappelijk Welzijn van Kortenberg;Lokale overheid;Kortenberg;OCMW;http://data.lblod.info/id/bestuurseenheden/81c963a775083e79abd30962c6ae585c9d2797565982d4a486601183c01a8872
OVO002524;Openbaar Centrum voor Maatschappelijk Welzijn van Landen;Lokale overheid;Landen;OCMW;http://data.lblod.info/id/bestuurseenheden/3034a27a33930cc51bd440d5c270e96d7e536caec358175a57d41a0b9879695b
OVO002525;Openbaar Centrum voor Maatschappelijk Welzijn van Leuven;Lokale overheid;Leuven;OCMW;http://data.lblod.info/id/bestuurseenheden/8a162fa437a54cb657b57514e4e0135ec106fce3206c29cd2f90b1859ed90dab
OVO002526;Openbaar Centrum voor Maatschappelijk Welzijn van Lubbeek;Lokale overheid;Lubbeek;OCMW;http://data.lblod.info/id/bestuurseenheden/ba64836606bc59e1334a787a10e97766268fd98e0dc834175963acb182ad16eb
OVO002527;Openbaar Centrum voor Maatschappelijk Welzijn van Oud-Heverlee;Lokale overheid;Oud-Heverlee;OCMW;http://data.lblod.info/id/bestuurseenheden/d27f323f877abd097699b2c5a748bfe41bc83193f8c67ffc8343a335146e00de
OVO002528;Openbaar Centrum voor Maatschappelijk Welzijn van Rotselaar;Lokale overheid;Rotselaar;OCMW;http://data.lblod.info/id/bestuurseenheden/6011a5d8acde95d23f021cb53d31fa95d75391ce404466c65757c641d6207f63
