Column1;Column2;Column3;Column4;Column5;Column6
OVO000088;Instituut voor Natuur- en Bosonderzoek;Vlaamse overheid;Instituut voor Natuur- en Bosonderzoek;;https://data.vlaanderen.be/id/organisatie/OVO000088
OVO000089;Agentschap voor Natuur en Bos;Vlaamse overheid;Agentschap voor Natuur en Bos;;https://data.vlaanderen.be/id/organisatie/OVO000089
OVO000090;Vlaams Energie- en Klimaatagentschap;Vlaamse overheid;Vlaams Energie- en Klimaatagentschap;;https://data.vlaanderen.be/id/organisatie/OVO000090
OVO000091;Openbare Vlaamse Afvalstoffenmaatschappij;Vlaamse overheid;Openbare Vlaamse Afvalstoffenmaatschappij;;https://data.vlaanderen.be/id/organisatie/OVO000091
OVO000092;VLAAMSE MILIEUMAATSCHAPPIJ;Vlaamse overheid;VLAAMSE MILIEUMAATSCHAPPIJ;;https://data.vlaanderen.be/id/organisatie/OVO000092
OVO000094;VLAAMSE LANDMAATSCHAPPIJ;Vlaamse overheid;VLAAMSE LANDMAATSCHAPPIJ;;https://data.vlaanderen.be/id/organisatie/OVO000094
OVO000095;Milieu- en Natuurraad van Vlaanderen;Vlaamse overheid;Milieu- en Natuurraad van Vlaanderen;;https://data.vlaanderen.be/id/organisatie/OVO000095
OVO000096;Departement Mobiliteit en Openbare Werken;Vlaamse overheid;Departement Mobiliteit en Openbare Werken;;https://data.vlaanderen.be/id/organisatie/OVO000096
OVO000097;Agentschap voor Maritieme Dienstverlening en Kust;Vlaamse overheid;Agentschap voor Maritieme Dienstverlening en Kust;;https://data.vlaanderen.be/id/organisatie/OVO000097
OVO000098;Agentschap Wegen en Verkeer;Vlaamse overheid;Agentschap Wegen en Verkeer;;https://data.vlaanderen.be/id/organisatie/OVO000098
OVO000100;Vlaamse Vervoermaatschappij - De Lijn;Vlaamse overheid;Vlaamse Vervoermaatschappij - De Lijn;;https://data.vlaanderen.be/id/organisatie/OVO000100
OVO000103;VLAAMSE MAATSCHAPPIJ VOOR SOCIAAL WONEN;Vlaamse overheid;VLAAMSE MAATSCHAPPIJ VOOR SOCIAAL WONEN;;https://data.vlaanderen.be/id/organisatie/OVO000103
OVO000104;Onroerend Erfgoed;Vlaamse overheid;Onroerend Erfgoed;;https://data.vlaanderen.be/id/organisatie/OVO000104
OVO000106;Wonen in Vlaanderen;Vlaamse overheid;Wonen-Vlaanderen;;https://data.vlaanderen.be/id/organisatie/OVO000106
OVO000107;STRATEGISCHE ADVIESRAAD RUIMTELIJKE ORDENING - ONROEREND ERFGOED;Vlaamse overheid;STRATEGISCHE ADVIESRAAD RUIMTELIJKE ORDENING - ONROEREND ERFGOED;;https://data.vlaanderen.be/id/organisatie/OVO000107
OVO000110;Universitair Ziekenhuis Gent;Vlaamse overheid;Universitair Ziekenhuis Gent;;https://data.vlaanderen.be/id/organisatie/OVO000110
OVO000112;DE VLAAMSE WATERWEG;Vlaamse overheid;DE VLAAMSE WATERWEG;;https://data.vlaanderen.be/id/organisatie/OVO000112
OVO000142;VLAAMS INSTITUUT VOOR BIOTECHNOLOGIE - FLANDERS INSTITUTE FOR BIOTECHNOLOGY;Vlaamse overheid;VLAAMS INSTITUUT VOOR BIOTECHNOLOGIE - FLANDERS INSTITUTE FOR BIOTECHNOLOGY;;https://data.vlaanderen.be/id/organisatie/OVO000142
OVO000146;Eigen Vermogen van het Instituut voor Natuur- en Bosonderzoek;Vlaamse overheid;Eigen Vermogen van het Instituut voor Natuur- en Bosonderzoek;;https://data.vlaanderen.be/id/organisatie/OVO000146
OVO000157;Vlaamse Interuniversitaire Raad;Vlaamse overheid;Vlaamse Interuniversitaire Raad;;https://data.vlaanderen.be/id/organisatie/OVO000157
OVO000158;Vlaamse Hogescholenraad;Vlaamse overheid;Vlaamse Hogescholenraad;;https://data.vlaanderen.be/id/organisatie/OVO000158
OVO000174;Literatuur Vlaanderen;Vlaamse overheid;Literatuur Vlaanderen;;https://data.vlaanderen.be/id/organisatie/OVO000174
OVO000175;VLAAMS AUDIOVISUEEL FONDS;Vlaamse overheid;VLAAMS AUDIOVISUEEL FONDS;;https://data.vlaanderen.be/id/organisatie/OVO000175
OVO000176;DeSingel;Vlaamse overheid;DeSingel;;https://data.vlaanderen.be/id/organisatie/OVO000176
OVO000177;MUSEUM VAN HEDENDAAGSE KUNST ANTWERPEN;Vlaamse overheid;MUSEUM VAN HEDENDAAGSE KUNST ANTWERPEN;;https://data.vlaanderen.be/id/organisatie/OVO000177
OVO000182;KONINKLIJKE VLAAMSE ACADEMIE VAN BELGIE VOOR WETENSCHAPPEN & KUNSTEN;Vlaamse overheid;KONINKLIJKE VLAAMSE ACADEMIE VAN BELGIE VOOR WETENSCHAPPEN & KUNSTEN;;https://data.vlaanderen.be/id/organisatie/OVO000182
OVO000184;Koninklijke Academie voor Nederlandse Taal en Letteren;Vlaamse overheid;Koninklijke Academie voor Nederlandse Taal en Letteren;;https://data.vlaanderen.be/id/organisatie/OVO000184
OVO000210;Mobiliteitsraad van Vlaanderen;Vlaamse overheid;Mobiliteitsraad van Vlaanderen;;https://data.vlaanderen.be/id/organisatie/OVO000210
OVO000228;Provincie Antwerpen;Provinciale overheid;Antwerpen;Provincie;http://data.lblod.info/id/bestuurseenheden/bd74ee38a4b1e296821a11729c1f704cf439576c7ab2c910c95b067cf183d923
OVO000229;Provincie Limburg;Provinciale overheid;Limburg;Provincie;http://data.lblod.info/id/bestuurseenheden/14278813524c762255aeba149e7d7134ddecfbb43e7d56910731bd4e13e34f39
OVO000230;Provincie Oost-Vlaanderen;Provinciale overheid;Oost-Vlaanderen;Provincie;http://data.lblod.info/id/bestuurseenheden/298b13541e1e85de4b71535197aa1f3bbc4bdb67f0fe0f58ab4a7dc207af61fa
OVO000231;Provincie West-Vlaanderen;Provinciale overheid;West-Vlaanderen;Provincie;http://data.lblod.info/id/bestuurseenheden/8152e68420f560b8493d6c555a5bd4186903dc341028bb9855af6c44a9464fea
OVO000232;Provincie Vlaams-Brabant;Provinciale overheid;Vlaams-Brabant;Provincie;http://data.lblod.info/id/bestuurseenheden/8b7e7bf05ace5bb1a68f5bc0d870e20c20f147b00bd9a3dcce3a01733d4da744
OVO000236;VLAAMS INSTITUUT VOOR DE ZEE;Vlaamse overheid;VLAAMS INSTITUUT VOOR DE ZEE;;https://data.vlaanderen.be/id/organisatie/OVO000236
OVO000237;Vlaamse Havens;Vlaamse overheid;Vlaamse Havens;;https://data.vlaanderen.be/id/organisatie/OVO000237
OVO000474;Vlaams Centrum voor Agro- en Visserijmarketing;Vlaamse overheid;Vlaams Centrum voor Agro- en Visserijmarketing;;https://data.vlaanderen.be/id/organisatie/OVO000474
OVO000706;Beleid en Belangenbehartiging;Vlaamse overheid;Beleid en Belangenbehartiging;;https://data.vlaanderen.be/id/organisatie/OVO000706
OVO000707;Infrastructuur;Vlaamse overheid;Infrastructuur;;https://data.vlaanderen.be/id/organisatie/OVO000707
OVO000733;Vlaams Energiebedrijf;Vlaamse overheid;Vlaams Energiebedrijf;;https://data.vlaanderen.be/id/organisatie/OVO000733
OVO000795;Het Kinderrechtencommissariaat;Vlaamse overheid;Het Kinderrechtencommissariaat;;https://data.vlaanderen.be/id/organisatie/OVO000795
OVO000857;Raad voor betwistingen inzake studievoortgangsbeslissingen;Vlaamse overheid;Raad voor Betwisting studievoortgangsbeslissingen;;https://data.vlaanderen.be/id/organisatie/OVO000857
OVO001002;Hoge Raad voor de Handhavingsuitvoering;Vlaamse overheid;Hoge Raad voor de Handhavingsuitvoering;;https://data.vlaanderen.be/id/organisatie/OVO001002
OVO001151;;Vlaamse overheid;Vlaamse gemeenschapscommissie;Vlaamse gemeenschapscommissie;http://data.lblod.info/id/bestuurseenheden/9e6b6eb3-2f0b-4723-876b-178dfaecfddf
OVO001523;Agentschap Plantentuin Meise;Vlaamse overheid;Agentschap Plantentuin Meise;;https://data.vlaanderen.be/id/organisatie/OVO001523
OVO001601;LUCHTHAVENONTWIKKELINGSMAATSCHAPPIJ VLAANDEREN;Vlaamse overheid;LUCHTHAVENONTWIKKELINGSMAATSCHAPPIJ VLAANDEREN;;https://data.vlaanderen.be/id/organisatie/OVO001601
OVO001680;Raad voor Verkiezingsbetwistingen;Vlaamse overheid;Raad voor Verkiezingsbetwistingen;;https://data.vlaanderen.be/id/organisatie/OVO001680
OVO001688;Raad voor Vergunningsbetwistingen;Vlaamse overheid;Raad voor Vergunningsbetwistingen;;https://data.vlaanderen.be/id/organisatie/OVO001688
OVO001689;Handhavingscollege;Vlaamse overheid;Handhavingscollege;;https://data.vlaanderen.be/id/organisatie/OVO001689
OVO001708;;Vlaamse overheid;Lokale Organisatie en Werking;;https://data.vlaanderen.be/id/organisatie/OVO001708
OVO001729;Vlaams Woningfonds;Vlaamse overheid;Vlaams Woningfonds;;https://data.vlaanderen.be/id/organisatie/OVO001729
